Monat,Besuche,BesEindeutig,Dauer,Seitenansichten,SeitenEind,Top-Datensatz,Top2,Top3,Top4,Top5
23.12.2023,,,,,,,,,,
23.11.2023,1997,1662,3,6065,4457,,,,,
23.10.2023,1840,1552,2 Minuten 9s,4583,3518,,,,,
23.09.2023,1823,1444,2 Minuten 40s,6018,4070,,,,,
23.08.2023,1754,1437,2 Minuten 32s,4998,3730,,,,,
23.07.2023,1710,1420,2 Minuten 31s,5152,3542,,,,,
23.06.2023,1749,1419,3 Minuten 8s,6254,4224,/standorte-der-give-boxen-und-öffentlichen-bücherregale,/trinkwasseranalyse-der-stadtwerke-münster,grundstücksmarktbericht-2022-für-münster,/geokoordinaten-der-stadtteil-grenzen-geometriedaten-der-kleinräumigen-gebietsgliederung,/solarkataster-münster-solarpotenzial
23.05.2023,1809,1478,2 Minuten 22s,4879,3583,/standorte-der-give-boxen-und-öffentlichen-bücherregale,stillplätze-wickelräume,/trinkwasseranalyse-der-stadtwerke-münster,standorte-der-glascontainer,/öpnv-netzpläne-der-buslinien-münster
23.04.2023,1482,1275,,4264,3098,/standorte-der-give-boxen-und-öffentlichen-bücherregale,/trinkwasseranalyse-der-stadtwerke-münster,/öpnv-netzpläne-der-buslinien-münster,stillplätze-wickelräume,grundstücksmarktbericht-2022-für-münster
23.03.2023,1731,1394,,5772,3929,/standorte-der-give-boxen-und-öffentlichen-bücherregale,/trinkwasseranalyse-der-stadtwerke-münster,grundstücksmarktbericht-2022-für-münster,stillplätze-wickelräume,/openstreetmaps-rohdaten-für-münster
23.02.2023,1691,1358,,4558,3337,/standorte-der-give-boxen-und-öffentlichen-bücherregale,/aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe,stillplätze-wickelräume,grundstücksmarktbericht-2022-für-münster,/trinkwasseranalyse-der-stadtwerke-münster
23.01.2023,2011,1722,,5538,3992,stillplätze-wickelräume,/standorte-der-give-boxen-und-öffentlichen-bücherregale,standorte-der-glascontainer,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-münster-awm,grundstücksmarktbericht-2022-für-münster
22.12.2022,1611,1372,,4283,2963,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-,standorte-der-give-boxen-und-öffentlichen-bücherregale,grundstücksmarktbericht,stillplätze-wickelräume,/standorte-der-glascontainer
22.11.2022,1811,1573,,5410,3701,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-,standorte-der-give-boxen-und-öffentlichen-bücherregale,stillplätze-wickelräume,/standorte-der-glascontainer,grundstücksmarktbericht
22.10.2022,1881,1593,,4986,3654,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-,standorte-der-give-boxen-und-öffentlichen-bücherregale,/öpnv-netzpläne-der-buslinien-münster,grundstücksmarktbericht,/trinkwasseranalyse-der-stadtwerke-münster
22.09.2022,1784,1460,,6199,4283,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-,standorte-der-give-boxen-und-öffentlichen-bücherregale,/trinkwasseranalyse-der-stadtwerke-münster,/geokoordinaten-der-flurstücke-bzw-grundstücksgrenzen,zwischenbericht-bestandsanalyse-masterplan-mobilität-münster-2035
22.08.2022,1840,1431,,8129,5146,standorte-der-give-boxen-und-öffentlichen-bücherregale,/öpnv-netzpläne-der-buslinien-münster,/trinkwasseranalyse-der-stadtwerke-münster,/geokoordinaten-der-stadtteil-grenzen-geometriedaten-der-kleinräumigen-gebietsgliederung,/stillplätze-wickelräume
22.07.2022,1400,1128,,5252,3473,standorte-der-give-boxen-und-öffentlichen-bücherregale,/stillplätze-wickelräume,/öpnv-netzpläne-der-buslinien-münster,/trinkwasseranalyse-der-stadtwerke-münster,/gebäudeumrisse
22.06.2022,1391,1178,,4276,3006,standorte-der-give-boxen-und-öffentlichen-bücherregale,/gebäudeumrisse,/stillplätze-wickelräume,,
22.05.2022,1913,1574,,5686,4070,/aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe,standorte-der-give-boxen,/coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster,/dataset/trinkwasseranalyse-der-stadtwerke-münster,/entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm
22.04.2022,1418,1194,,3730,2745,standorte-der-give-boxen,entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-münster-awm,/aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe,/standorte-der-glascontainer,/stillplätze-wickelräume
22.03.2022,1760,1415,,5948,4085,,,,,
22.02.2022,1728,1379,,6186,4145,,,,,
22.01.2022,3507,3042,,9966,7202,/dataset/aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe 1000,/dataset/standorte-der-give-boxen-und-öffentlichen-bücherregale 252,/dataset/entsorgungskalender-2022-der-abfallwirtschaftsbetriebe-münster-awm 300,/dataset/entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 202,/dataset/trinkwasseranalyse-der-stadtwerke-münster 83
21.12.2021,3619,10068,,3086,7236,aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe 772,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 767,standorte-der-give-boxen-und-öffentlichen-bücherregale 140,umriss-des-innenstadtbereichs-mit-maskenpflicht 123,trinkwasseranalyse-der-stadtwerke-münster 76
21.11.2021,2240,7025,,1958,4855,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 614,aktuelle-coronazahlen-münster-pro-stadtteil-und-altersgruppe 441,standorte-der-give-boxen-und-öffentlichen-bücherregale 151,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 101,trinkwasseranalyse-der-stadtwerke-münster 76
21.10.2021,1342,3553,,1190,2436,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 712,standorte-der-give-boxen-und-öffentlichen-bücherregale 140,standorte-der-glascontainer 60,stillplätze-wickelräume 58,trinkwasseranalyse-der-stadtwerke-münster 47
21.09.2021,1588,5759,,1291,3671,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 674,standorte-der-give-boxen-und-öffentlichen-bücherregale 139,geokoordinaten-der-stimmbezirke-und-kommunalwahlbezirke 105,digitales-baumkataster-münster 72,standorte-der-glascontainer
21.08.2021,1409,6551,,1151,3898,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 568,standorte-der-give-boxen-und-öffentlichen-bücherregale,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 91,trinkwasseranalyse-der-stadtwerke-münster 57,standorte-der-glascontainer 53
21.07.2021,1297,6347,,1010,3833,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 298,standorte-der-give-boxen-und-öffentlichen-bücherregale 166,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 82,standorte-der-glascontainer 78,stillplätze-wickelräume 70
21.06.2021,1681,8142,,1264,5146,entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 362,standorte-der-kinos 198,standorte-der-give-boxen-und-öffentlichen-bücherregale 182,geometriedaten-der-kleinräumigen-gebietsgliederung 134,schulen 128
21.05.2021,1482,5254,,1173,3321,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (579),standorte-der-give-boxen-und-öffentlichen-bücherregale (169),umweltsensordaten-im-stadtgebiet (74),öpnv-busradar-bus-live-positionsdaten 67,digitales-baumkataster-münster 65
21.04.2021,1429,4496,,1182,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (579),standorte-der-give-boxen-und-öffentlichen-bücherregale (165),standorte-der-glascontainer 77,bodenrichtwerte-2019 60,trinkwasseranalyse-der-stadtwerke-münster 58
21.03.2021,1465,4031,,1276,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm (785),standorte-der-give-boxen-und-öffentlichen-bücherregale (156),standorte-der-glascontainer 114,trinkwasseranalyse-der-stadtwerke-münster 74,öpnv-busradar-bus-live-positionsdaten 56
21.02.2021,1709,5206,,1477,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 1209,standorte-der-glascontainer 118,standorte-der-give-boxen-und-öffentlichen-bücherregale (156),öpnv-busradar-bus-live-positionsdaten 58,fahrradverkehr-münster-aktion-stadtradeln-heatmap 58
21.01.2021,2923,9008,,2576,,Entsorgungskalender-2021-der-abfallwirtschaftsbetriebe-münster-awm 2998,standorte-der-give-boxen-und-öffentlichen-bücherregale (167),standorte-der-glascontainer 85,coronavirus-infektionen-sars-cov-2-im-regierungsbezirk-münster 74,digitales-baumkataster-münster 67
20.12.2020,1833,5735,,2244,,,,,,
20.11.2020,1034,4273,,812,,,,,,
20.10.2020,858,4072,,,,,,,,
20.09.2020,1238,5625,,,,,,,,
20.08.2020,847,6449,,,,,,,,
20.07.2020,478,3570,,,,,,,,
20.06.2020,565,3749,,,,,,,,
20.05.2020,438,2263,,,,,,,,
20.04.2020,144,747,,,,,,,,